"Projekto kodas","Projekto vadovo vardas"
0,"Laima"
1,"Laima"
2,"Tadeuš"
3,"Tadeuš"
4,"Laima"
5,"Tadeuš"
6,"Paulius"
7,"Laima"
8,"Algirdas"
9,"Orestas"
10,"Artūras"
11,"Roman"
12,"Šarūnas"
13,"Paulius"
14,"Šarūnas"
15,"Laima"
16,"Aurimas"
17,"Laima"
18,"Aurimas"
19,"Laimonas"
20,"Laimonas"
21,"Arnas"
22,"Eglė"
23,"Jevgenij"
24,"Pavel"
25,"Jevgenij"
26,"Aivaras"
27,"Jevgenij"
28,"Sandra"
29,"Jevgenij"
30,"Aleksandras"
31,"Paulius"
32,"Daniel"
33,"Daiva"
34,"Laimonas"
35,"Virginijus"
36,"Vitalijus"
37,"Jevgenij"
38,"Povilas"
39,"Mindaugas"
40,"Vitalijus"
41,"Virginijus"
42,"Sandra"
43,"Vitalijus"
44,"Virginijus"
45,"Arnas"
46,"Adomas"
47,"Viktorija"
48,"Arnas"
49,"Daiva"
50,"Virginijus"
51,"Stasys"
52,"Adomas"
53,"Daiva"
54,"Daiva"
55,"Adomas"
56,"Martynas"
57,"Vitalijus"
58,"TomasK"
59,"Adomas"
60,"Vitalijus"
61,"Raimundas"
62,"Ignas"
63,"Justinas"
64,"Evaldas"
65,"Virginijus"
66,"PauliusG"
67,"Audrius"
68,"Ignas"
69,"Mantas"
70,"Erikas"
71,"Renatas"
72,"TomasK"
73,"Adomas"
74,"MariusM"
75,"Kiril"
76,"Mindaugas"
77,"Algirdas"
78,"Mantas"
79,"NEĮVYKĘS"
80,"PauliusG"
81,"Maksim"
82,"NEĮVYKĘS"
83,"Vitalijus"
84,"Renatas"
85,"TomasK"
86,"Jurgis"
87,"MariusM"
88,"Andrius"
89,"MariusM"
90,"NEĮVYKĘS"
91,"Daniel"
92,"Audrius"
93,"Jolanta"
94,"Tomas"
95,"Daniel"
96,"NEĮVYKĘS"
97,"KarolisS"
98,"PauliusG"
99,"Jaroslav"
100,"Renatas"
101,"Kiril"
102,"Renatas"
103,"Maksim"
104,"Marius"
105,"KarolisS"
106,"Erikas"
107,"Evaldas"
108,"Evaldas"
109,"NEĮVYKĘS"
110,"Karolis"
111,"Sandra"
112,"Oleg"
113,"NEĮVYKĘS"
114,"Evaldas"
115,"Mindaugas"
116,"Audrius"
117,"NEĮVYKĘS"
118,"NEĮVYKĘS"
119,"NEĮVYKĘS"
120,"Rimantas"
121,"LinasJ"
122,"Vitold"
123,"NEĮVYKĘS"
124,"PauliusG"
125,"NEĮVYKĘS"
126,"TomasK"
127,"NEĮVYKĘS"
128,"Vytautas"
129,"Simonas"
130,"PauliusG"
131,"Žilvinas"
132,"Gediminas"
133,"Vitold"
134,"NEĮVYKĘS"
135,"Jolanta"
136,"NEĮVYKĘS"
137,"Renatas"
138,"DonatasM"
139,"Žilvinas"
140,"Audrius"
141,"Gediminas"
142,"NEĮVYKĘS"
143,"NEĮVYKĘS"
144,"NEĮVYKĘS"
145,"Gintaras"
146,"Evaldas"
147,"Justinas"
148,"Oleg"
149,"NEĮVYKĘS"
150,"MariusM"
151,"Gintaras"
152,"MariusM"
153,"AndriusD"
154,"NEĮVYKĘS"
155,"Vilius"
156,"NEĮVYKĘS"
157,"Tomas"
158,"Rimantas"
159,"JustinasG"
160,"NEĮVYKĘS"
161,"NEĮVYKĘS"
162,"NEĮVYKĘS"
163,"Jovita"
164,"NEĮVYKĘS"
165,"Leonard"
166,"NEĮVYKĘS"
167,"NEĮVYKĘS"
168,"NEĮVYKĘS"
169,"NEĮVYKĘS"
170,"NEĮVYKĘS"
171,"NEĮVYKĘS"
172,"NEĮVYKĘS"
173,"NEĮVYKĘS"
174,"NEĮVYKĘS"
175,"Vytautas"
176,"Pranas"
177,"NEĮVYKĘS"
178,"JustinasG"
179,"Simonas"
180,"Simonas"
181,"Žilvinas"
182,"NEĮVYKĘS"
183,"Oleg"
184,"NEĮVYKĘS"
185,"NEĮVYKĘS"
186,"Leonard"
187,"Jovita"
188,"NEĮVYKĘS"
189,"NEĮVYKĘS"
190,"NEĮVYKĘS"
191,"DonatasM"
192,"NEĮVYKĘS"
193,"Viktor"
194,"MariusM"
195,"NEĮVYKĘS"
196,"NEĮVYKĘS"
197,"NEĮVYKĘS"
198,"NEĮVYKĘS"
199,"NEĮVYKĘS"
